poly,avg_degree,avg_w_degree
1,20,337.6158361091173
2,24,102.63965549042784
3,25,221.19758564698205
4,28,137.8260377608256
5,48,497.6912918489714
6,37,473.92857024298723
7,24,224.6976982290085
8,127,2098.5789507010504
9,18,30.204595087483902
10,24,611.4568900166879
11,21,88.28583061596159
12,21,2923.4834346885077
13,18,453.24660964938147
14,24,1155.0372653746513
15,27,131.49717915363817
16,31,2825.628499632943
17,27,378.1356404497786
18,32,1378.711450129971
19,23,212.53729953640843
20,14,200.23710139207296
21,25,87.41565643327675
22,33,1582.9129963156051
23,32,45.35005468673428
24,40,586.5803460040948
25,37,821.0065878938586
26,31,500.52558635867985
27,63,1271.2076616833267
28,45,1144.8036068689837
29,18,302.55307122697633
30,37,401.08314174398754
31,22,178.4680966986582
32,41,495.2131107417972
33,23,150.86465613015184
34,46,631.6874331121824
35,37,718.421383760709
36,34,205.53673956844273
37,94,2079.777465866402
38,46,400.103803732423
39,40,493.46591500181904
40,44,283.38389854017424
41,44,690.5647457592323
42,91,2540.13532038422
43,41,317.42624511203394
44,38,275.59176781357957
45,31,160.2167875718585
46,34,257.3734841744342
47,46,654.9655936486262
48,95,1943.8240057421046
49,39,468.3043405822012
50,19,36.81375187156969
51,32,222.81294066354948
52,28,173.28995835109515
53,62,1008.0758881506611
54,34,90.23987794641931
55,31,645.2076982862197
56,69,1390.2165080060608
57,32,120.58781802934735
58,116,2229.9800436370624
59,216,6783.141837162872
60,42,657.5944696205822
61,124,2574.8855875253776
62,33,237.39384888562043
63,45,694.0941557222674
64,20,8.584938813554688
65,57,461.822801387412
66,34,139.99146955118027
67,33,257.5817389883785
68,41,305.16433939395205
69,46,619.0992490594546
70,60,697.3569373487672
71,85,1979.0263074197496
72,17,41.64786843116679
73,46,342.00625018962126
74,105,1983.5761483519382
75,52,622.405305596809
76,39,209.08160099316063
77,52,988.3479634389745
78,49,657.5367418182309
79,110,1930.950673095336
80,105,1920.3426699638248
81,35,599.4576362402071
82,37,240.9520778250697
83,45,404.80192612930574
84,51,644.0559946702988
85,139,1945.5906083250607
86,119,2227.4726396396927
87,53,684.6440815839919
88,44,308.49253525466855
89,41,249.6183986122447
90,70,798.2014812088191
91,24,84.67520240084208
92,57,376.1264773161793
93,73,711.6826270821359
94,68,980.4146609096796
95,61,963.4494601678807
96,149,3210.998939623762
97,49,417.48988262901736
98,31,184.40532252222468
99,164,3571.3378273961907
100,17,1626.3100754775141
101,16,443.50461977398925
102,16,1844.0251978120402
103,20,219.12614094649538
104,17,814.1979849703371
105,18,513.0647446122258
106,22,1601.206588173451
107,18,1377.2051030937532
108,21,285.56733986428816
109,21,1551.901092883467
110,21,168.98622550985522
111,22,104.41683756834342
112,16,1640.9805617555182
113,22,416.78092947709837
114,18,863.3873345914092
115,15,719.5518595443802
116,21,605.4395002701858
117,20,644.5725640566807
118,19,285.29195653911245
119,24,626.9407420359444
120,20,851.2657291070437
121,22,859.0007995889388
122,17,365.3394949040231
123,24,282.2119718083551
124,23,164.94558120566884
125,23,549.9533210164326
126,20,1345.3262726052012
127,18,876.3224017235435
128,23,1110.2028401174673
129,18,559.0987175323904
130,29,231.04047997953157
131,23,1500.8718355486906
132,24,694.169805157157
133,25,654.4619423429333
134,24,471.8633335205028
135,26,181.06342768835614
136,24,590.282094037035
137,14,188.80602359212156
138,30,2346.73082127801
139,23,149.20163737593265
140,30,2088.385996519148
141,20,743.1181049814656
142,24,2235.892166967634
143,23,818.621229158846
144,29,1103.4926499033736
145,23,1225.1746647456114
146,29,1670.684039566592
147,18,178.88243180927768
148,22,312.8236709309256
149,23,1208.901019207757
150,18,527.2653621521134
151,21,438.5064006598815
152,22,537.0504125852173
153,24,317.61930720132784
154,26,201.79309866014907
155,24,1118.3961089856637
156,21,491.65776251365224
157,30,800.0666121500445
158,27,504.5172360627485
159,25,1209.4881643277859
160,30,563.422600568707
161,18,176.33790086898333
162,24,1449.2700316499747
163,27,1119.6803048661632
164,27,310.9851434357874
165,34,2735.5361730541777
166,16,370.41204096448575
167,25,324.3753190950467
168,20,31.12458299564944
169,26,131.06079703018227
170,26,649.1547467908355
171,65,4624.561007381992
172,31,258.8153316861565
173,21,294.4039265215444
174,11,79.5554620511887
175,37,3249.4328427655146
176,22,241.83235575419283
177,38,2995.8957304104147
178,31,767.8821643808765
179,25,739.5077195567252
180,23,264.1510341777284
181,21,501.9406469383957
182,19,199.91156940996456
183,26,1281.6611701910138
184,30,1330.1705286410286
185,21,503.45855876730707
186,35,1738.2575027780638
187,26,525.8934366388545
188,27,602.4647275183062
189,50,3186.3698377761957
190,21,239.39459812526982
191,27,1153.8709481834765
192,26,192.86761355653869
193,22,333.606925870272
194,28,344.7907843304015
195,26,540.6297188320102
196,37,1210.328378476811
197,30,754.4140509063265
198,25,330.33703909149096
199,23,140.59169292867233
200,30,117.66885588183862
201,31,1259.2428252512675
202,29,1204.1214728010984
203,27,507.0018458351387
204,30,471.62038848299335
205,29,407.74633789670685
206,28,221.3474263288408
207,26,1493.6050299987355
208,33,656.7214293498895
209,28,317.06689045458864
210,33,27.787560338859766
211,41,1544.2318858555257
212,31,957.3697159940012
213,35,683.3933235632848
214,27,554.3506275566843
215,32,1371.2301168964916
216,36,601.0345485536602
217,29,204.25641245362826
218,32,133.62986171501697
219,72,4724.424958648994
220,143,9863.301973278118
221,29,116.93819565135179
222,31,411.1212060481083
223,38,1967.2048664911665
224,68,3453.281771436145
225,54,2493.4621128786425
226,33,892.0143765995045
227,45,595.4943067550458
228,36,549.1173341371598
229,59,2739.2968713515684
230,42,1591.2458813640692
231,106,5593.60200384224
232,27,694.9128457202747
233,39,482.7783652501221
234,32,83.09310724291669
235,26,138.82032746219505
236,27,468.97955437051064
237,32,567.8513639015293
238,26,403.242472434504
239,29,684.9594501828226
240,32,1149.8952959776918
241,30,86.74026110544258
242,37,177.23979567079843
243,59,2237.9236717708527
244,32,906.0175094919545
245,35,231.92222011905773
246,45,307.81332692891965
247,35,645.7636017038418
248,32,716.4883259190625
249,39,761.5021134212403
250,41,857.4891820076703
251,38,1479.4897346643231
252,56,1831.3641645910184
253,32,174.05599834541587
254,31,313.35468527500296
255,24,50.55245090212232
256,26,247.08679779869885
257,26,444.05301244141185
258,18,277.11077905243775
259,31,410.32612683900084
260,40,827.7022409400621
261,25,381.7902851371062
262,53,1345.7787084946833
263,43,330.61297864092444
264,67,2396.6736539288268
265,65,1853.8605679313966
266,31,747.8498371941217
267,36,358.1533932570447
268,35,312.16811909260457
269,36,213.68438738201002
270,32,683.480049222447
271,36,719.299255203332
272,26,239.67321075344864
273,66,2083.058906039676
274,53,1369.1389387456973
275,46,255.68922426856145
276,31,422.4669793867631
277,39,449.75767629095725
278,36,614.9407293692468
279,35,322.7086172281396
280,38,320.35692523114966
281,37,190.318404431146
282,59,1263.1773135824008
283,89,1795.7022891578956
284,68,2163.735112949288
285,66,1875.494297515304
286,86,2831.731255309044
287,81,3006.116737271027
288,57,898.5694533838234
289,45,773.1248152686618
290,36,194.2551101801816
291,38,189.41365217027646
292,29,846.4026007557623
293,48,1425.7927555102015
294,61,1701.7566692403548
295,35,703.4038532604562
296,36,1056.752690986652
297,34,836.7713968056785
298,30,468.1417658009933
299,33,178.32000110935232
300,48,690.7315294225243
301,31,235.67378318485498
302,56,895.8358096292408
303,72,1039.8444147174282
304,47,513.0357522201383
305,85,2187.4813771731083
306,40,1180.1719239988608
307,69,1700.3491470380322
308,30,301.6793232741463
309,45,679.5655796510812
310,40,414.85835839702645
311,34,804.9074206974552
312,30,496.5742841453529
313,32,525.6227054988034
